Target,MAE,SMAPE_%,R2
Torque (Nm),3.507033348083496,45.601337,
I.P (kW),0.9428274631500244,12.865198,
B.P (kW),0.5309367179870605,46.198566,
F.P (kW),1.4737610816955566,24.267033,
I.M.E.P (bar),1.2094860076904297,13.023194,
B.M.E.P (bar),0.659500002861023,44.945175,
F.M.E.P (bar),1.8927991390228271,24.598577,
Air (mg/stroke),12.535751342773438,4.581185,
Air (kg/h),0.5214300155639648,2.1568055,
Fuel (mg/stroke),1.5601234436035156,3.9663196,
Fuel (kg/h),0.012763723731040955,3.7783544,
H.S.F (kg/h),0.14023864269256592,3.9043405,
S.F.C (kg/kWh),0.11666576564311981,28.45112,
A/F Ratio,2.8456573486328125,3.910451,
Vol.Effi. (%),1.7357177734375,2.4741278,
I.T.Effi. (%),21.00640106201172,10.15239,
B.T.Effi. (%),13.799753189086914,43.800953,
Mech.Effi. (%),17.368946075439453,74.752106,
H.b.p (%),13.799753189086914,43.800953,
H.e.j.c.w (%),7.182317733764648,11.027858,
H. red (%),98.77447509765625,6.412238,
H. gas (%),85.532470703125,5.525944,
