Target,MAE,SMAPE_%,WAPE_%,SkillScore
Torque (Nm),3.507143020629883,45.68777,43.80018,-0.052295864172547724
I.P (kW),0.9428572654724121,12.863779,12.815535,-0.12856409826956883
B.P (kW),0.5309523344039917,46.28739,44.333992,-0.0532718759355828
F.P (kW),1.4738094806671143,24.260197,23.927328,-0.12123802536587425
I.M.E.P (bar),1.209524154663086,13.021931,12.9724245,-0.14024906733589182
B.M.E.P (bar),0.6595238447189331,45.029247,43.213734,-0.051604062067688306
F.M.E.P (bar),1.8928570747375488,24.589462,24.245197,-0.13085843208638925
Air (mg/stroke),12.53570556640625,4.581149,4.5790143,-0.12530460498258789
Air (kg/h),0.7668228149414062,3.1989746,3.1714976,-2.1627165283212118
Fuel (mg/stroke),2.3974609375,6.1633916,5.976577,-28595.88752526288
Fuel (kg/h),0.012763693928718567,3.778351,3.708836,-124.72908708387048
H.S.F (kg/h),0.20601284503936768,5.7903957,5.6258383,-1882.2601942858141
S.F.C (kg/kWh),0.11666667461395264,28.432646,28.0,-0.3527547138620446
A/F Ratio,2.8456497192382812,3.910441,3.9713337,-4.704995994136693
Vol.Effi. (%),1.7357139587402344,2.4741194,2.4737854,-0.12546311420402612
I.T.Effi. (%),21.00714111328125,10.153922,10.129154,-0.03180674440569842
B.T.Effi. (%),13.799999237060547,43.876656,42.461536,-0.162131628468142
Mech.Effi. (%),17.369049072265625,75.34474,68.10756,-0.048046871522711365
H.b.p (%),13.799999237060547,43.876656,42.461536,-0.162131628468142
H.e.j.c.w (%),2.030996322631836,3.144664,3.2646425,0.47092236537187526
H. red (%),113.48406982421875,7.3141394,7.468245,-2.0292667839467837
H. gas (%),85.839111328125,5.5449824,5.629348,-2.197746832892937
